Date,Origin,Transaction Type,Currency,Transaction Amount,Description,URL
2015-02,"The Internet Corporation for Assigned Names and Numbers (ICANN)
",unrestricted gift,EUR,"26283,6",Unrestricted gift to support the activities of the Nexa Center,N/A
2015-02,"GEIE ERCIM (W3C)  
",grant,EUR,4000,Interim payment for the participation in SHARE PSI 2.0 - The network for innovation in European public sector information,https://nexa.polito.it/share-psi-2.0 ; https://www.w3.org/2013/share-psi/
2015-02,SIGMA ORIONIS S.p.A.,grant,EUR,"21962,5",Advance payment for the participation in RRI ICT FORUM  - Supporting and Promoting responsible research and innovation in ICT,https://nexa.polito.it/rri-ict-forum; https://rri-ict-forum.nexacenter.org/view/Main_Page
2015-03,"Telecom Italia S.p.A.
",grant,EUR,10000,TellMeFirst - A Knowledge Discovery Application,"http://tellmefirst.polito.it "
2015-04,"Compagnia di San Paolo
",grant,EUR,20000,Global Network of Interdisciplinary Internet & Society Research Centers (NoC),https://nexa.polito.it/noc ; http://www.networkofcenters.net
2015-06,"CSI Piemonte 
",grant,EUR,19950,SmartDataNet - research project,N/A
2015-06,"European Commission - DG Information Society and Media ",grant,EUR,"1446,12",Final payment for the participation of LAPSI2.0 – Thematic Network on Legal Aspects of Public Sector Information,https://nexa.polito.it/lapsi2; http://lapsi-project.eu/about-lapsi-20
2015-06,"eBay Inc.
",unrestricted gift,EUR,"62273,87",Unrestricted gift to support the activities of the Nexa Center,https://nexa.polito.it/iot
2015-07,"GEIE ERCIM (W3C)  
",grant,EUR,4000,Interim payment for the participation in SHARE PSI 2.0 - The network for innovation in European public sector information,https://nexa.polito.it/share-psi-2.0 ; https://www.w3.org/2013/share-psi/
2015-08,"Centre for Research and Technology Hellas ",grant,EUR,"57599,76",Interim payment for the participation in EINS – the European Network of Excellence in Internet Science,https://nexa.polito.it/eins ;  http://www.internet-science.eu/
2015-09,"Compagnia di San Paolo
",grant,EUR,20000,Global Network of Interdisciplinary Internet & Society Research Centers (NoC),https://nexa.polito.it/noc ; http://www.networkofcenters.net
2015-10,Harvard University,grant,EUR,"13085,44",NoC Internet Governance Case Studies Series: Creative Commons,N/A
2015-12,Regione Piemonte,grant,EUR,"12477,5",Payment for the participation in ODINO,https://nexa.polito.it/Odino
2015-12,Telecom Italia S.p.A.,grant,EUR,20000,The law of service robots - research project,http://nexa.polito.it/law-of-service-robots
2015-12,"CSI Piemonte 
",grant,EUR,10855,Final payment for the participation in Open-DAI -- Opening Data Architectures and Infrastructures of European Public Administrations,"http://nexa.polito.it/open-dai ; http://www.open-dai.eu/  "
2015-12,"CSI Piemonte 
",grant,EUR,"3597,54",Smart Data Net – research project,N/A
