Origin of the funding,Description,Amount used in 2015,Currency,URL 1,URL 2
"Regione Piemonte ","R&D contract supporting Innovazione in campo economico, culturale e sociale del territorio piemontese attraverso il miglior sfruttamento dei benefici derivanti dagli ecosistemi digitali aperti e da Internet in generale. ""Dati aperti su una rete aperta"".",29200,"EUR ","N/A ","N/A "
"European Commission DG Connect ","Participation in EINS - Network of Excellence on Internet Science ",58900,"EUR ","http://nexa.polito.it/eins  ","http://internet-science.eu/ "
"European Commission DG Information Society and Media ",Participation in Open-DAI - Opening Data Architectures and Infrastructures of European Public Administrations,1000,"EUR ","http://nexa.polito.it/open-dai  ","http://www.open-dai.eu/ "
"European Commission DG for Communications Networks, Content and Technology",Participation in RRI ICT FORUM - Supporting and Promoting responsible research and innovation in ICT,8800,"EUR ",https://nexa.polito.it/rri-ict-forum,https://rri-ict-forum.nexacenter.org/view/Main_Page
"European Commission DG Information Society and Media ",Participation in the SHARE 2.0 - Shared Standards for Open Data and Public Sector Information,10000,"EUR ",https://nexa.polito.it/share-psi-2.0,https://www.w3.org/2013/share-psi/
European Commission DG for Research & Innovation,"Participation in the LAPSI2.0 – the thematic network ",900,"EUR ","http://nexa.polito.it/lapsi2 ","http://www.lapsi-project.eu/ "
"European Commission DG Information Society and Media ","Participation in PASTEUR4OA – Open Access Policy Alignment Strategies For European Union Research ",33400,"EUR ",https://nexa.polito.it/pasteur4oa,"http://www.pasteur4oa.eu/ "
"Past projects leftover ","Past projects leftover ",5000,"EUR ","N/A ","N/A "
Harvard University,NoC Internet Governance Case Studies Series: Creative Commons,13000,"EUR ","N/A ","N/A "
Google Inc.,"Unrestricted gift to expand the Neubot measurement tool to include P2P throttling detection, and Android-based mobile measurement ",12800,"EUR ","http://nexa.polito.it/neubot ","http://neubot.org/ "
Telecom Italia S.p.A.,TellMeFirst - A Knowledge Discovery Application - research project,7800,"EUR ","http://tellmefirst.polito.it ","N/A "
Telecom Italia S.p.A.,"""The law of service robots"" research project ",14600,"EUR ","http://nexa.polito.it/law-of-service-robots ","N/A "
Telecom Italia S.p.A.,Unrestricted gift to support the activities of the Nexa Center,21500,"EUR ","N/A ","N/A "
Compagnia di San Paolo,Global Network of Interdisciplinary Internet & Society Research Centers (NoC),34200,"EUR ",https://nexa.polito.it/noc,http://www.networkofcenters.net
5T s.r.l.,Smart Mobility,1400,EUR,https://nexa.polito.it/smart-city,"N/A "
"CSI Piemonte ",SmartDataNet - research project,12000,EUR,N/A,N/A
"Regione Piemonte ",Participation in ODINO (Piedmont ICT Cluster),9600,EUR,https://nexa.polito.it/Odino,N/A
Regione Piemonte (through EU ERDF fund),Participation in MAPO,14000,EUR,https://nexa.polito.it/Mapo,N/A
eBay Inc.,Unrestricted gift to support the activities of the Nexa Center,12000,EUR,https://nexa.polito.it/iot,N/A
The Internet Corporation for Assigned Names and Numbers (ICANN),Unrestricted gift to support the activities of the Nexa Center,3000,EUR,N/A,N/A
"Politecnico di Torino ","Contribution in kind (mainly personnel effort) ",128900,"EUR ","N/A ","N/A "
"Marco Ricolfi ","Contribution in kind ",30000,"EUR ","N/A ","N/A "
