Origin of the funding,Description,Amount used in 2018,Currency,URL 1,URL 2
European Commission DG Connect,Participation in RRI ICT FORUM  - Supporting and Promoting responsible research and innovation in ICT,12300,EUR,https://nexa.polito.it/rri-ict-forum; ,https://rri-ict-forum.nexacenter.org/view/Main_Page
"European Commission DG for Communications Networks, Content and Technology",Participation in DECODE - Decentralised Citizens Owned Data Ecosystem,36000,EUR,http://nexa.polito.it/decode,www.decodeproject.eu
European Commission DG  Research and Innovation,Participation in Virteu - Values and ethics in Innovation for Responsible Technology in Europe,8800,EUR,https://nexa.polito.it/Virt-EU,www.virteuproject.eu
Agenzia Nazionale Erasmus Plus Indire ,Participation in EDU-HACK - Hacking Education through eLearning and Open Education,36300,EUR,https://nexa.polito.it/edu-hack,https://eduhack.eu
Google Belgium,Unrestricted gift to Copyright and Internet freedom,1600,EUR,N/A,N/A
Telecom Italia S.p.A.,"""Trade-off"" privacy - research project",9600,EUR,N/A,N/A
TIM S.p.A.,Connected Drones - research project,4500,EUR,N/A,N/A
AGID (Agenzia per l'Italia Digitale),White paper on Artificial Intelligence - research project,19900,EUR,https://nexa.polito.it/White-Paper,N/A
INTESA SANPAOLO Groupe Services S.C.P.A. ,Big data Academy Intesa Sanpaolo - Digital Culture,50600,EUR,https://nexa.polito.it/teaching,N/A
Fondazione per la Scuola della Compagnia di San Paolo ,Riconnessioni – Fondazione per la Scuola (Compagnia di San Paolo) ,12000,EUR,https://nexa.polito.it/teaching,N/A
Siebel Energy Institute,"Power Aware – Lights off, brains on - research project",23400,EUR,https://nexa.polito.it/power-aware,N/A
eBay Inc.,Unrestricted gift to Ownership in the Internet of Things,39100,EUR,https://nexa.polito.it/iot,N/A
Foudation P&P,Unrestricted gift for supporting on Nexa Research Activity,3000,EUR,N/A,N/A
Politecnico di Torino,Research PhD,67000,EUR,N/A,N/A
Politecnico di Torino,Research funding by Politecnico di Torino,32200,EUR,N/A,N/A
Politecnico di Torino,Contribution in kind (mainly personnel effort),111200,EUR,N/A,N/A
Marco Ricolfi,Contribution in kind,30000,EUR,N/A,N/A
