Date,Origin,Transaction Type,Currency,Transaction Amount,Description,URL
2018-02,"Istituto di studi per l’integrazione dei sistemi ",grant,EUR,"15007,1","Final payment for the participation in ""RRI ICT FORUM  - Supporting and Promoting responsible research and innovation in ICT""",https://nexa.polito.it/rri-ict-forum; https://rri-ict-forum.nexacenter.org/
2018-02,"Fondazione per la Scuola della Compagnia di San Paolo ",grant,EUR,8000,"Riconnessioni – Fondazione per la Scuola (Compagnia di San Paolo) ",https://nexa.polito.it/teaching
2018-02,Foudation P&R,unrestricted gift,EUR,8000,Unrestricted gift to support the activities of the Nexa Center,N/A
2018-03,"Fondazione per la Scuola della Compagnia di San Paolo ",grant,EUR,8000,"Riconnessioni – Fondazione per la Scuola (Compagnia di San Paolo) ",https://nexa.polito.it/teaching
2018-03,AGID (Agenzia per l'Italia Digitale),grant,EUR,"38416,94",White paper on Artificial Intelligence,https://nexa.polito.it/White-Paper
2018-07,P&R Foundation,unrestricted gift,EUR,15000,Unrestricted gift to support the activities of the Nexa Center,N/A
2018-10,AGID (Agenzia per l'Italia Digitale),grant,EUR,"193,05","Coordination of the activities for the drafting of “L’Intelligenza artificiale al servizio dei cittadini”, the Italian white paper on the adoption of Artificial Intelligence in the public sector.",https://nexa.polito.it/White-Paper
2016-12,NESTA,grant,EUR,"18512,5",Interim payment for the participation in DECODE (Decentralised Citizens Owned Data Ecosystem),"http://nexa.polito.it/decode; www.decodeproject.eu

"
