Origin of the funding,Description,Amount used in 2013,Currency,URL 1,URL 2
Regione Piemonte,R&D contract supporting Innovazione in campo economico culturale e sociale del territorio piemontese attraverso il miglior sfruttamento dei benefici derivanti dagli ecosistemi digitali aperti e da Internet in generale Dati aperti su una rete aperta,85800,EUR,N/A,N/A 
European Commission DG Connect,Participation in EINS - Network of Excellence on Internet Science,22600,EUR,http://nexa.polito.it/eins ,http://internet-science.eu/ 
European Commission DG Information Society and Media,Participation in Open-DAI,38000,EUR,http://nexa.polito.it/open-dai ,http://www.open-dai.eu/ 
Google Italy,Unrestricted gift to support a research activity on Libera circolazione delle Informazioni su Internet,25400,EUR,http://nexa.polito.it/neubot, http://neubot.org/ 
EVPSI,Participation in the EVPSI project,7000,EUR,http://nexa.polito.it/evpsi,http://www.evpsi.org 
European Commission DG Information Society and Media,Participation in the LAPSI2.0 thematic network,9700,EUR,http://nexa.polito.it/lapsi2,http://www.lapsi-project.eu/ 
Past projects leftover,Past projects leftover,29000,EUR,N/A,N/A 
Google M-Lab (Google Inc.),Unrestricted gift to expand the Neubot measurement tool to include P2P throttling detection and Android-based mobile measurement,12500,EUR,http://nexa.polito.it/neubot,http://neubot.org/ 
Telecom Italia,Funding of The law of service robots - research project,5400,EUR,http://nexa.polito.it/law-of-service-robots,N/A 
Politecnico di Torino,Contribution in kind (mainly personnel effort),126600,EUR,N/A,N/A 
Marco Ricolfi,Contribution in kind,30000,EUR,N/A,N/A 
