Origin of the funding,Description,Amount used in 2019,Currency,URL 1,URL 2
"European Commission DG for Communications Networks, Content and Technology",Participation in DECODE - Decentralised Citizens Owned Data Ecosystem,26600,EUR,http://nexa.polito.it/decode,www.decodeproject.eu
European Commission DG  Research and Innovation,Participation in Virteu - Values and ethics in Innovation for Responsible Technology in Europe,1200,EUR,https://nexa.polito.it/Virt-EU,www.virteuproject.eu
Agenzia Nazionale Erasmus Plus Indire,Participation in EDU-HACK - Hacking Education through eLearning and Open Education,35600,EUR,https://nexa.polito.it/edu-hack,https://eduhack.eu
Past projects leftover,Past projects leftover,300,EUR,N/A,N/A
Telecom Italia S.p.A.,"""Trade-off"" privacy - research project",2600,EUR,N/A,N/A
TIM S.p.A.,Connected Drones - research project,30400,EUR,N/A,N/A
TIM S.p.A.,Artificial intelligence - research project,26400,EUR,https://nexa.polito.it/artificial-intelligence-in-tlc,N/A
AGID (Agenzia per l'Italia Digitale),White paper on Artificial Intelligence - research project,10450,EUR,https://nexa.polito.it/White-Paper,N/A
INTESA SANPAOLO Groupe Services S.C.P.A.,Big data Academy Intesa Sanpaolo - Digital Culture,4000,EUR,https://nexa.polito.it/teaching,N/A
Fondazione per la Scuola della Compagnia di San Paolo,Riconnessioni – Fondazione per la Scuola (Compagnia di San Paolo),14300,EUR,https://nexa.polito.it/teaching,N/A
eBay Inc.,Unrestricted gift to support the activities of the Nexa Center,4200,EUR,https://nexa.polito.it/iot,N/A
P&R Foundation ,Unrestricted gift to support the activities of the Nexa Center,5800,EUR,N/A,N/A
Comitato ICT,"Gift to support the Nexa Center ""stakeholder"" activity",4300,EUR,N/A,N/A
Politecnico di Torino,Research PhD,46500,EUR,N/A,N/A
Politecnico di Torino,Research funding by Politecnico di Torino,15400,EUR,N/A,N/A
Politecnico di Torino,Contribution in kind (mainly personnel effort),177750,EUR,N/A,N/A
Marco Ricolfi,Contribution in kind,30000,EUR,N/A,N/A
