Date,Origin,Transaction Type,Currency,Transaction Amount,Description,URL
1-Mar-19,Urs Gasser,unrestricted gift,EUR," 1,000.00 ",Unrestricted gift to support the activities of the Nexa Center,N/A
1-Apr-19,Fondazione per la Scuola della Compagnia di San Paolo ,grant,EUR," 4,000.00 ",Riconnessioni – Fondazione per la Scuola (Compagnia di San Paolo),https://nexa.polito.it/teaching
1-May-19,Fondazione per la Scuola della Compagnia di San Paolo ,grant,EUR," 8,200.00 ",Riconnessioni – Fondazione per la Scuola (Compagnia di San Paolo),https://nexa.polito.it/teaching
1-May-19,Agenzia Nazionale Erasmus Plus Indire ,grant,EUR," 50,684.00 ",Interim payment for the participation of Hacking Education through eLearning and Open Education - EDU-HACK,https://nexa.polito.it/edu-hack; https://eduhack.eu
1-Jun-19,P&R Foundation,unrestricted gift,EUR," 12,000.00 ",Unrestricted gift to support the activities of the Nexa Center,N/A
1-Jul-19,TIM S.p.A.,grant,EUR," 27,000.00 ",Artificial intelligence - research project,https://nexa.polito.it/artificial-intelligence-in-tlc
1-Aug-19,TIM S.p.A.,grant,EUR," 22,500.00 ",Connected Drones  - research project,N/A
1-Dec-19,Comitato ICT,Gift,EUR," 30,000.00 ","Gift to support the Nexa Center ""stakeholder"" activity.",N/A
