Date,Origin,Transaction Type,Currency,Transaction Amount,Description,URL
24-feb-23,Veneto Lavoro,grant,EUR," 19.165,00 ",Interim payment for the participation of Content and Language Integrated learning for Key Competences - CLIKC,https://nexa.polito.it/CLIKC
6-giu-23,TIM S.p.A.,grant,EUR," 30.000,00 ",The Metaverse and its opportunities - research project,https://nexa.polito.it/metaverse-and-its-opportunities/
22-giu-23,Directorate of International Law - Federal Department of Foreign Affairs FDFA,grant,EUR," 1.428,00 ",Sponsoring of the Workshop on “Empowering our Digital Journey: Unleashing the Potential of Digital Self-Determination,N/A
21-dic-23,Veneto Lavoro,grant,EUR," 5.380,00 ",FInal payment for the participation of Content and Language Integrated learning for Key Competences - CLIKC,https://nexa.polito.it/CLIKC
