Date,Origin,Transaction Type,Currency,Transaction Amount,Description,URL
2014-02,"Telecom Italia S.p.A. 
",unrestricted gift,EUR,50000,Unrestricted gift to online privacy,N/A
2014-02,"Telecom Italia S.p.A. 
",grant,EUR,5000,TellMeFirst - A Knowledge Discovery Application – research project,http://tellmefirst.polito.it 
2014-03,ETHNIKO IDRYMA EREVNON,grant,EUR,"44456,68",Interim payment for the participation of PASTEUR4OA – Open Access Policy Alignment Strategies For European Union Research,https://nexa.polito.it/pasteur4oa; http://www.pasteur4oa.eu/ 
2014-04,"GEIE ERCIM (W3C)  
",grant,EUR,8000,Advance payment for the participation of SHARE PSI 2.0 - The network for innovation in European public sector information,https://nexa.polito.it/share-psi-2.0 ; https://www.w3.org/2013/share-psi/
2014-05,"Regione Piemonte - Direzione Innovazione, Ricerca e Università  
",grant,EUR,"29508,2","R&D contract supporting - Innovazione in campo economico, culturale e sociale del territorio piemontese attraverso il miglior sfruttamento dei benefici derivanti dagli ecosistemi digitali aperti e da Internet in generale, Dati aperti su una rete aperta -",N/A
2014-06,"Compagnia di San Paolo
",grant,EUR,20000,Global Network of Interdisciplinary Internet & Society Research Centers (NoC),https://nexa.polito.it/noc ; http://www.networkofcenters.net
2014-07,Centre for Research and Technology Hellas ,grant,EUR,"49046,13",Interim payment for the participation of EINS – the European Network of Excellence in Internet Science,https://nexa.polito.it/eins ;  http://www.internet-science.eu/
2014-07,"Telecom Italia S.p.A.
",grant,EUR,30000,The law of service robots - research project,http://nexa.polito.it/law-of-service-robots
2014-07,Cosvifor s.r.l.,grant,EUR,10200,Pragmatica degli Open Data nella Pubblica Amministrazione,N/A
2014-07,"Regione Piemonte - Direzione Innovazione, Ricerca e Università  
",grant,EUR,"68852,46","R&D contract supporting - Innovazione in campo economico, culturale e sociale del territorio piemontese attraverso il miglior sfruttamento dei benefici derivanti dagli ecosistemi digitali aperti e da Internet in generale, Dati aperti su una rete aperta -",N/A
2014-11,European Commission - DG Information Society and Media ,grant,EUR,4800,Interim payment for the participation of LAPSI2.0 – Thematic Network on Legal Aspects of Public Sector Information,https://nexa.polito.it/lapsi2; http://lapsi-project.eu/about-lapsi-20
2014-12,"CSI Piemonte 
",grant,EUR,"14478,33",Interim payment for the participation in Open-DAI,http://nexa.polito.it/open-dai ; http://www.open-dai.eu/  
2014-12,5T s.r.l.,grant,EUR,10000,Smart Mobility,https://nexa.polito.it/smart-city
