Origin of the funding,Description,Amount used in 2014,Currency,URL 1,URL 2
Regione Piemonte ,"R&D contract supporting Innovazione in campo economico, culturale e sociale del territorio piemontese attraverso il miglior sfruttamento dei benefici derivanti dagli ecosistemi digitali aperti e da Internet in generale, Dati aperti su una rete aperta ",86000,EUR ,N/A ,N/A 
European Commission DG Connect ,Participation in EINS - Network of Excellence on Internet Science ,73500,EUR ,http://nexa.polito.it/eins  ,http://internet-science.eu/ 
European Commission DG Information Society and Media ,Participation in Open-DAI - Opening Data Architectures and Infrastructures of European Public Administrations ,25600,EUR ,http://nexa.polito.it/open-dai  ,http://www.open-dai.eu/ 
European Commission DG Information Society and Media ,Participation in the SHARE 2.0 - The network for innovation in European public sector information,3400,EUR ,https://nexa.polito.it/share-psi-2.0,https://www.w3.org/2013/share-psi/
European Commission DG for Research & Innovation,Participation in the LAPSI2.0 - The thematic network ,3700,EUR ,http://nexa.polito.it/lapsi2 ,http://www.lapsi-project.eu/ 
European Commission DG Information Society and Media ,Participation in PASTEUR4OA - Open Access Policy Alignment Strategies For European Union Research ,14000,EUR ,https://nexa.polito.it/pasteur4oa,http://www.pasteur4oa.eu/ 
Past projects leftover ,Past projects leftover ,7000,EUR ,N/A ,N/A 
Google Italy ,Unrestricted gift to support a research activity on Libera circolazione delle Informazioni su Internet ,2900,EUR ,http://nexa.polito.it/neubot ,http://neubot.org/ 
Google Inc.,"Unrestricted gift to expand the Neubot measurement tool to include P2P throttling detection, and Android-based mobile measurement ",1600,EUR ,http://nexa.polito.it/neubot ,http://neubot.org/ 
Telecom Italia S.p.A.,TellMeFirst - A Knowledge Discovery Application - research project,8400,EUR ,http://tellmefirst.polito.it ,N/A 
Telecom Italia S.p.A.,The law of service robots - research project,16100,EUR ,http://nexa.polito.it/law-of-service-robots ,N/A 
Telecom Italia S.p.A.,Unrestricted gift to online privacy,6900,EUR ,N/A ,N/A 
Compagnia di San Paolo,Global Network of Interdisciplinary Internet & Society Research Centers (NoC),23900,EUR ,https://nexa.polito.it/noc,http://www.networkofcenters.net
5T s.r.l.,Smart Mobility,7200,EUR,https://nexa.polito.it/smart-city,N/A 
Cosvifor s.r.l.,Research activity on Pragmatica degli Open Data nella Pubblica Amministrazione,7400,EUR,N/A,N/A
Regione Piemonte ,Participation in ODINO (Piedmont ICT Cluster),3000,EUR,https://nexa.polito.it/Odino,N/A
Politecnico di Torino ,Contribution in kind (mainly personnel effort) ,118400,EUR ,N/A ,N/A 
Marco Ricolfi ,Contribution in kind ,30000,EUR ,N/A ,N/A 
