Date,Origin,Transaction Type,Currency,Transaction Amount,Description,URL
2017-02,IT University of Copenhagen,grant,EUR,"73335,84",Advance payment for the participation of the Virteu - Values and ethics in Innovation for Responsible Technology in Europe,https://nexa.polito.it/Virt-EU; www.virteuproject.eu
2017-02,Foudation P&P,unrestricted gift,EUR,6000,Unrestricted gift for supporting on Nexa Research Activity,N/A
2017-02,INTESA SANPAOLO Groupe Services S.C.P.A. ,grant,EUR,33602,Big data Academy Intesa Sanpaolo - Digital Culture,https://nexa.polito.it/teaching
2017-04,"Universyty of California, Berkeley Foundation",grant,EUR,"46695,32","POWER AWARE - Lights off, brains on",https://nexa.polito.it/power-aware
2017-06,ETHNIKO IDRYMA EREVNON,grant,EUR,"9624,2",Final payment for the participation of PASTEUR4OA – Open Access Policy Alignment Strategies For European Union Research,https://nexa.polito.it/pasteur4oa; http://www.pasteur4oa.eu/
2017-07,Telecom Italia S.p.A.,grant,EUR,23750,"""Trade-off"" privacy - research project",N/A
2017-10,Foudation P&P,unrestricted gift,EUR,10000,Unrestricted gift for supporting on Nexa Research Activity,N/A
2017-12,INTESA SANPAOLO Groupe Services S.C.P.A. ,grant,EUR,56600,Big data Academy Intesa Sanpaolo - Digital Culture,https://nexa.polito.it/teaching
2017-12,Agenzia Nazionale Erasmus Plus Indire ,grant,EUR,50684,Advance payment for the participation of the EDU-HACK - Hacking Education through eLearning and Open Education,https://nexa.polito.it/edu-hack; https://eduhack.eu
