Origin of the funding,Description,Amount used in 2017,Currency,URL 1,URL 2
European Commission DG Connect,Participation in EINS - Network of Excellence on Internet Science,18800,EUR,"http://nexa.polito.it/eins  ",http://internet-science.eu/
"European Commission DG for Communications Networks, Content and Technology",Participation in DECODE - Decentralised Citizens Owned Data Ecosystem,46000,EUR,http://nexa.polito.it/decode,www.decodeproject.eu
European Commission DG  Research and Innovation,Participation in Virteu - Values and ethics in Innovation for Responsible Technology in Europe,27400,EUR,https://nexa.polito.it/Virt-EU,www.virteuproject.eu
"Agenzia Nazionale Erasmus Plus Indire ",Participation in EDU-HACK - Hacking Education through eLearning and Open Education,15400,EUR,https://nexa.polito.it/edu-hack,https://eduhack.eu
Past projects leftover,Past projects leftover,2600,EUR,N/A,N/A
Google Belgium,Unrestricted gift to support the activities of the Nexa Center,15900,EUR,N/A,N/A
Google Inc.,Unrestricted gift to support the activities of the Nexa Center,19500,EUR,http://nexa.polito.it/neubot,http://neubot.org/
Telecom Italia S.p.A.,"""Trade-off"" privacy - research project",9200,EUR,N/A,N/A
Telecom Italia S.p.A.,The law of service robots - research project,22500,EUR,http://nexa.polito.it/law-of-service-robots,N/A
Telecom Italia S.p.A.,Unrestricted gift to support the activities of the Nexa Center,16300,EUR,N/A,N/A
"INTESA SANPAOLO Groupe Services S.C.P.A. ",Big data Academy Intesa Sanpaolo - Digital Culture,39600,EUR,https://nexa.polito.it/teaching,N/A
Regesta,Public Contracts – research project,2400,EUR,https://nexa.polito.it/public-contracts,N/A
Siebel Energy Institute,"Power Aware – Lights off, brains on - research project",23200,EUR,https://nexa.polito.it/power-aware,N/A
CSI Piemonte,SmartDataNet - research project,13600,EUR,N/A,N/A
eBay Inc.,Unrestricted gift to support the activities of the Nexa Center,24800,EUR,https://nexa.polito.it/iot,N/A
P&R Foundation,Unrestricted gift to support the activities of the Nexa Center,9100,EUR,N/A,N/A
Politecnico di Torino,Research PhD,51600,EUR,N/A,N/A
Politecnico di Torino,Research funding by Politecnico di Torino,13000,EUR,N/A,N/A
Politecnico di Torino,Contribution in kind (mainly personnel effort),93400,EUR,N/A,N/A
Marco Ricolfi,Contribution in kind,30000,EUR,N/A,N/A
