Date,Origin,Transaction Type,Currency,Transaction Amount,Description,URL
1-Feb-21,Agenzia Nazionale Erasmus Plus Indire ,grant,EUR," 26.060,00 ",Final payment for the participation of Hacking Education through eLearning and Open Education - EDU-HACK, https://nexa.polito.it/edu-hack
1-May-21,Agenzia Nazionale Erasmus Plus Indire ,grant,EUR," 43.904,00 ",Interim payment for the participation of Hacking Institutional Strategy for Rapidly Deployed Digital Education - STRATEGYHACK, https://nexa.polito.it/StrategyHack
1-May-21,TIM S.p.A.,grant,EUR," 30.000,00 ",Distributed architectures - research project,https://nexa.polito.it/distributed-architecture-data-management
1-Oct-21,P&R Foundation,unrestricted gift,EUR," 12.000,00 ",Unrestricted gift to support the activities of the Nexa Center,N/A
