Origin of the funding,Description,Amount used in 2021,Currency,URL 1,URL 2
European Commission DG for Communications Networks and Content and Technology,Participation in DECODE - Decentralised Citizens Owned Data Ecosystem,35700,EUR,http://nexa.polito.it/decode,www.decodeproject.eu
Agenzia Nazionale Erasmus Plus Indire,Participation in StrategyHack - Hacking Institutional Strategy for Rapidly Deployed Digital Education,30300,EUR,https://nexa.polito.it/StrategyHack,https://strategyhack.eu/
Consiglio Nazionale delle Ricerche (CNR),Participation in SIFIS HOME - Secure Interoperable Full-Stack Internet of Things for Smart Home,7900,EUR,https://www.sifis-home.eu/, N/A
Veneto Lavoro,Participation in CLIKC - Content and Language Integrated learning for Key Competences,10400,EUR,https://nexa.polito.it/CLIKC,https://clikc.eu/
Past projects leftover,Past projects leftover,1000,EUR,N/A,N/A
TIM S.p.A.,Connected Drones - research project,6300,EUR,https://nexa.polito.it/the-laws-of-connected-drones,N/A
TIM S.p.A.,Distributed architectures - research project,30000,EUR,https://nexa.polito.it/distributed-architecture-data-management,N/A
AGID (Agenzia per l'Italia Digitale),White paper on Artificial Intelligence - research project,13000,EUR,https://nexa.polito.it/White-Paper,N/A
Fondazione per la Scuola della Compagnia di San Paolo,Riconnessioni – Fondazione per la Scuola (Compagnia di San Paolo),13400,EUR,https://nexa.polito.it/teaching,N/A
Politecnico di Torino,Research funding by Politecnico di Torino,17100,EUR,N/A,N/A
Politecnico di Torino,Contribution in kind (mainly personnel effort),106700,EUR,N/A,N/A
Marco Ricolfi,Contribution in kind,30000,EUR,N/A,N/A
