Date,Origin,Transaction Type,Currency,Transaction Amount,Description,URL
1-mar-22,TIM S.p.A.,grant,EUR," 30.000,00 ",The New European Data Strategy: a comparison with the USA  - research project,https://nexa.polito.it/The-New-European-Data-Strategy
7-mar-22,Veneto Lavoro,grant,EUR," 6.531,00 ",Advance payment for the participation of Content and Language Integrated learning for Key Competences - CLIKC,https://nexa.polito.it/CLIKC ; https://clikc.eu/
11-ago-22,Veneto Lavoro,grant,EUR," 17.168,00 ",Interim payment for the participation of Content and Language Integrated learning for Key Competences - CLIKC,https://nexa.polito.it/CLIKC ; https://clikc.eu/
