Origin of the funding,Description,Amount used in 2022,Currency,URL 1,URL 2
Agenzia Nazionale Erasmus Plus Indire,Participation in StrategyHack - Hacking Institutional Strategy for Rapidly Deployed Digital Education,18400,EUR,https://nexa.polito.it/StrategyHack,https://strategyhack.eu/
Consiglio Nazionale delle Ricerche (CNR),Participation in SIFIS HOME - Secure Interoperable Full-Stack Internet of Things for Smart Home,11900,EUR,https://www.sifis-home.eu/,
Veneto Lavoro,Participation in CLIKC - Content and Language Integrated learning for Key Competences,31400,EUR,https://nexa.polito.it/CLIKC,https://clikc.eu/
Past projects leftover,Past projects leftover,39200,EUR,N/A,N/A
TIM S.p.A.,The New European Data Strategy: a comparison with the USA - research project,26600,EUR,https://nexa.polito.it/The-New-European-Data-Strategy,N/A
Politecnico di Torino,Research Ph.D.,3900,EUR,N/A,N/A
Politecnico di Torino,Research funding by Politecnico di Torino,9500,EUR,N/A,N/A
Politecnico di Torino,Contribution in kind (mainly personnel effort),99100,EUR,N/A,N/A
Marco Ricolfi,Contribution in kind,30000,EUR,N/A,N/A
