Origin of the funding,Description,Amount used in 2016,Currency,URL 1,URL 2
"Regione Piemonte ","R&D contract supporting: Innovazione in campo economico, culturale e sociale del territorio piemontese attraverso il miglior sfruttamento dei benefici derivanti dagli ecosistemi digitali aperti e da Internet in generale, Dati aperti su una rete aperta ",4300,"EUR ","N/A ","N/A "
"European Commission DG Connect ","Participation in EINS - Network of Excellence on Internet Science ",3000,"EUR ","http://nexa.polito.it/eins  ","http://internet-science.eu/ "
"European Commission DG for Communications Networks, Content and Technology","Participation in DECODE - Decentralised Citizens Owned Data Ecosystem ",12500,"EUR ",http://nexa.polito.it/decode,www.decodeproject.eu
"European Commission DG for Communications Networks,Content and Technology",Participation in RRI ICT FORUM - Supporting and Promoting responsible research and innovation in ICT,6200,"EUR ",https://nexa.polito.it/rri-ict-forum,https://rri-ict-forum.nexacenter.org/view/Main_Page
"European Commission DG Information Society and Media ",Participation in the SHARE 2.0 – The network for innovation in European public sector information,2800,"EUR ",https://nexa.polito.it/share-psi-2.0,https://www.w3.org/2013/share-psi/
"European Commission DG Information Society and Media ","Participation in PASTEUR4OA - Open Access Policy Alignment Strategies For European Union Research ",27600,"EUR ",https://nexa.polito.it/pasteur4oa,"http://www.pasteur4oa.eu/ "
"Past projects leftover ","Past projects leftover ",15000,"EUR ","N/A ","N/A "
Università degli Studi del Piemonte Orientale (UPO),Master Open Source,2600,"EUR ",http://bit.ly/2lLLss3,"N/A "
Google Belgium,Unrestricted gift to support the activities of the Nexa Center,14500,"EUR ","N/A ","N/A "
Google Inc.,Unrestricted gift to support the activities of the Nexa Center,16300,"EUR ","http://nexa.polito.it/neubot ","http://neubot.org/ "
Google Inc.,Unrestricted gift to support the activities of the Nexa Center,9700,"EUR ","http://nexa.polito.it/neubot ","http://neubot.org/ "
Telecom Italia S.p.A.,TellMeFirst - A Knowledge Discovery Application  - research project,13700,"EUR ","http://tellmefirst.polito.it ","N/A "
Telecom Italia S.p.A.,The law of service robots - research project,19600,"EUR ","http://nexa.polito.it/law-of-service-robots ","N/A "
Telecom Italia S.p.A.,Unrestricted gift to support the activities of the Nexa Center,5300,"EUR ","N/A ","N/A "
Compagnia di San Paolo,Global Network of Interdisciplinary Internet & Society Research Centers (NoC),21750,"EUR ",https://nexa.polito.it/noc,http://www.networkofcenters.net
Regesta,Public Contracts – research project,5600,EUR,https://nexa.polito.it/public-contracts,"N/A "
Siebel Energy Institute,"Power Aware – Lights off, brains on - research project ",150,EUR,https://nexa.polito.it/power-aware,"N/A "
"CSI Piemonte ",SmartDataNet - research project,20900,EUR,N/A,N/A
Regione Piemonte (through EU ERDF fund),Participation in MAPO,1400,EUR,https://nexa.polito.it/Mapo,N/A
eBay Inc.,Unrestricted gift to support the activities of the Nexa Center,26500,EUR,https://nexa.polito.it/iot,N/A
The Internet Corporation for Assigned Names and Numbers (ICANN),Unrestricted gift to support the activities of the Nexa Center,23200,EUR,N/A,N/A
"Politecnico di Torino ",Research PhD,27000,EUR,N/A,N/A
"Politecnico di Torino ","Contribution in kind (mainly personnel effort) ",99000,"EUR ","N/A ","N/A "
"Marco Ricolfi ","Contribution in kind ",30000,"EUR ","N/A ","N/A "
