Date,Origin,Transaction Type,Currency,Transaction Amount,Description,URL
1-Feb-20,Fondazione per la Scuola della Compagnia di San Paolo ,grant,EUR," 19,500.00 ",Riconnessioni – Fondazione per la Scuola (Compagnia di San Paolo),https://nexa.polito.it/teaching
1-Feb-20,Fondazione Esperienze di Cultura Metropolitana,grant,EUR," 2,500.00 ",Digital library education project,N/A
1-Jul-20,P&R Foundation,unrestricted gift,EUR," 12,000.00 ",Unrestricted gift to support the activities of the Nexa Center,N/A
1-Jul-20,TIM S.p.A.,grant,EUR," 40,000.00 ",Connected Drones  - research project,N/A
1-Aug-20,TIM S.p.A.,grant,EUR," 30,000.00 ",Artificial intelligence - research project,https://nexa.polito.it/artificial-intelligence-in-tlc
1-Aug-20,NESTA,grant,EUR," 29,140.27 ",Final payment for the participation of  DECODE (Decentralised Citizens Owned Data Ecosystem),"http://nexa.polito.it/decode; www.decodeproject.eu
"
1-Sep-20,Fondazione per la Scuola della Compagnia di San Paolo ,grant,EUR," 6,500.00 ",Riconnessioni – Fondazione per la Scuola (Compagnia di San Paolo),https://nexa.polito.it/teaching
