Origin of the funding,Description,Amount used in 2020,Currency,URL 1,URL 2
"European Commission DG for Communications Networks, Content and Technology",Participation in DECODE - Decentralised Citizens Owned Data Ecosystem,17000,EUR,http://nexa.polito.it/decode,www.decodeproject.eu
Agenzia Nazionale Erasmus Plus Indire,Participation in EDU-HACK - Hacking Education through eLearning and Open Education,31200,EUR,https://nexa.polito.it/edu-hack,https://eduhack.eu
Past projects leftover,Past projects leftover,5400,EUR,N/A,N/A
TIM S.p.A.,Connected Drones - research project,25800,EUR,https://nexa.polito.it/the-laws-of-connected-drones,N/A
TIM S.p.A.,Artificial intelligence - research project,30600,EUR,https://nexa.polito.it/artificial-intelligence-in-tlc,N/A
AGID (Agenzia per l'Italia Digitale),White paper on Artificial Intelligence - research project,31600,EUR,https://nexa.polito.it/White-Paper,N/A
Fondazione per la Scuola della Compagnia di San Paolo,Riconnessioni – Fondazione per la Scuola (Compagnia di San Paolo),14500,EUR,https://nexa.polito.it/teaching,N/A
Fondazione Esperienze di Cultura Metropolitana,Digital library education project ,2500,EUR,N/A,N/A
P&R Foundation ,Unrestricted gift to support the activities of the Nexa Center,21800,EUR,N/A,N/A
Urs Gasser,Unrestricted gift to support the activities of the Nexa Center,1000,EUR,N/A,N/A
Comitato ICT,"Gift to support the Nexa Center ""stakeholder"" activity",25100,EUR,N/A,N/A
Politecnico di Torino,Research PhD,19300,EUR,N/A,N/A
Politecnico di Torino,Research funding by Politecnico di Torino,2800,EUR,N/A,N/A
Politecnico di Torino,Contribution in kind (mainly personnel effort),123400,EUR,N/A,N/A
Marco Ricolfi,Contribution in kind,30000,EUR,N/A,N/A
