Name of the file(s),nexa_center_funding_received_2020.csv, nexa_center_funding_used_2020.csv
Added to github.com/nexacenter/funding,2021-06-18,
Temporal coverage (from),2020-01-01,
Temporal coverage (to),2020-12-31,
Metadata date,2020-06-18,
Frequency of update,Yearly,
Responsible party,https://nexa.polito.it/people/sfenoglietto,
Data language,English,
Metadata language,English,
